Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg Page,End Page,Order ,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Agricultural,Other human,Predation,Disease,Accident/Injury,Starvation,Weather,Drowning,Other natural,Unknown
Home Range and Behavior of the Timber Rattlesnake,Adams,2000,2002,2005,Thesis: Marshall University,,,1,98,Squamata,Viperidae,Crotalus,horridus,Adult,38.96692,-79.89165,17,9,8,0,0,0,3,0,0,4,0,0,0,0,0,1,1
Ecology and conservation of prairie rattlesnakes (Crotalus virdis virdis) in relation to movement in a fragmented urban landscape,Andrus,2003,2006,2010,Thesis: University of Lethbridge,,,1,83,Squamata,Viperidae,Crotalus,viridis,Adult,49.64444,-112.85943,18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effects of fragmentation on the spatial ecology on the California Kingsnake (Lampropeltis californiae),Anguiano,2004,2006,2014,Journal of Herpetology,49,3,420,427,Squamata,Colubridae,Lampropeltis,californiae,Adult,32.71066,-116.96532,34,4,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Disruptive Influences of drought on the activity of a freshwater turtle,Anthonysamy,2005,2006,2013,The American Midland Naturalist,169,2,322,335,Testudines,Emydidae,Emydoidea,blandingii,Adult,41.36462,-88.20138,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Survival of Eastern Massasauga Rattlesnakes in Michigan,Bailey,2008,2009,2011,Herpetologica,67,2,167,173,Squamata,Viperidae,Sistrurus,catenatus,Adult,42.53575,-85.30204,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Terrestrial Habitat Use by Nesting Painted Turtles in Landscapes with Different Levels of Fragmentation,Baldwin,2001,2001,2004,Northeastern Naturalist,11,1,41,48,Testudines,Emydidae,Chrysemys,picta,Adult,43.13651,-70.91693,8,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Black Pine Snake: Spatial Ecology and Associations between Habitat Use and Prey Dynamics,Baxley,2004,2006,2009,Journal of Herpetology,43,2,284,293,Squamata,Colubridae,Pituophis,melanoleucus,Adult,31.07657,-88.95660,8,5,5,0,0,0,2,0,0,1,0,0,0,0,0,2,0
Survival during early life stages of the desert tortoise in the south-central mojave desert,Bjurlin,1998,1999,2004,Journal of Herpetology,38,4,527,535,Testudines,Testudinidae,Gopherus,agassizii,Juvenile,34.20151,-116.08493,19,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Terrestrial Activity of Chrysemys picta in Northern Virginia,Bowne,1999,2001,2008,Copeia,2008,2,306,310,Testudines,Emydidae,Chrysemys,picta,Adult,39.10459,-78.05114,60,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Habitat fragmentation effects on annual survival of the federally protected eastern indigo snake,Breininger,1998,2004,2012,Animal Conservation,15,4,361,368,Squamata,Colubridae,Drymarchon,couperi,Adult,28.62731,-80.74236,103,32,21,0,0,0,15,0,5,0,1,0,0,0,0,0,11
Survivorship and predation of hatchling and yearling gopher tortoises,Butler,1992,1993,1996,Journal of Herpetology,30,3,455,458,Testudines,Testudinidae,Gopherus,polyphemus,Juvenile,30.27167,-81.51279,20,19,17,0,0,0,0,0,0,17,0,0,0,0,0,0,2
"Movement patterns and habitat selection of common map turtles (Graptemys geographica) in St. Lawrence Islands National Park, Ontario",Carriere,2005,2006,2007,Thesis: Ottawa-Carlton Institue of Biology,,,1,120,Testudines,Emydidae,Graptemys,geographica,Adult,44.34177,-76.05046,28,18,18,0,0,0,0,0,16,1,0,0,0,0,0,1,0
Spatial and seasonal ecology of gray rat snakes proximal to red-cockaded woodpecker cluster in east-central Mississippi,Cole,1997,1998,2004,Thesis: Mississippi State University,,,1,142,Squamata,Colubridae,Pantherophis,spiloides,Adult,33.26968,-88.77994,45,7,6,0,0,0,0,0,0,5,0,0,0,0,0,1,1
Spatial ecology and habitat use of carpet pythons (Morelia spilota) from semi-arid New South Wales,Corey,2005,2006,2007,Thesis: University of Canberra,,,1,135,Squamata,Pythonidae,Morelia,spilota,Adult,-33.20806,144.96793,17,4,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0
Multi-Scale Responses of eastern Massasauga Rattlesnakes to Prescribed Fire,Cross,2007,2008,2015,The American Midland Naturalist,173,2,346,362,Squamata,Viperidae,Sistrurus,catenatus,Adult,41.94969,-85.83374,13,4,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0
A Survival Estimate of Midwestern Adult Eastern Box Turtles Using Radiotelemetry,Currylow,2007,2009,2011,The American Midland Naturalist,165,1,143,149,Testudines,Emydidae,Terrapene,carolina,Adult,39.18485,-86.33707,48,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Ecology of the eastern long-necked turtle (Chelonia longicollis) along a natural-urban gradient, ACT, Australia",de Oliveira Ferronato,2006,2007,2015,Thesis: University of Canberra,,,1,139,Testudines,Chelidae,Chelodina,longicollis,Adult,-35.17201,149.16790,40,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Movement and Space Use by Coastal Rosy Boas in Coastal Southern California,Diffendorfer,1993,1993,2005,Journal of Herpetology,39,1,24,36,Squamata,Boidae,Lichanura,trivirgata,Adult,33.09463,-116.98230,17,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Demography and Ecology of an Ornate Box Turtle (Terrapene ornata) Population in South-Central Wisconsin,Doroff,1986,1987,1990,Copeia,1990,2,387,399,Testudines,Emydidae,Terrapene,ornata,Adult,43.20170,-89.74999,53,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Effects of Mowing and Summer Burning on the Massasauga,Durbian,2003,2003,2006,The American Midland Naturalist,155,2,329,334,Squamata,Viperidae,Sistrurus,catenatus,Adult,40.08365,-95.25024,7,5,5,0,0,0,0,3,0,1,0,0,0,0,0,1,0
Demography of an urban population of the Texas horned lizard in Central Oklahoma,Endriss,2003,2005,2007,Herpetologica,63,3,320,331,Squamata,Phrynosomatidae,Phrynosoma,cornutum,Adult,35.41171,-97.40953,80,6,6,0,0,0,0,0,1,3,0,1,0,0,0,1,0
Feral pig predation threatens the indigenous harvest and local persistence of snake-necked turtles in northern Australia,Fordham,2000,2006,2006,Biological Conservation,133,3,379,388,Testudines,Chelidae,Chelodina,rugosa,Adult,-134.00583,12.00876,40,28,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Habitat Use and movement patterns of the northern Pacific Rattlesnake (Crotalus o. oreganus) in British Columbia,Gomez,2005,2006,2007,Thesis: University of Victoria,,,1,81,Squamata,Viperidae,Crotalus,oreganus,Adult,50.61222,-120.84058,12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Spatial ecology and demography of the ornate box turtle in a seasonally burned sand prairie matrix,Grant,2007,2009,2010,Thesis: West Texas A & M University,,,1,163,Testudines,Emydidae,Terrapene,ornata,Adult,34.15919,-100.42087,30,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Terrestrial Activity and Habitat Selection of Eastern Mud Turtles in a Fragmented Landscape: Implications for Habitat Management of Golf Courses and Other Suburban Environments,Harden,2006,2007,2009,Copeia,2009,1,78,84,Testudines,Kinosternidae,Kinosternon ,subrubrum,Adult,35.56813,-80.89295,11,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Sampling considerations for improving home range estimates of desert tortoises: effects of estimator, sampling regime, and sex",Harless,2004,2005,2009,Herpetological Conservation and Biology,5,3,374,387,Testudines,Testudinidae,Gopherus,agassizii,Adult,35.00388,-116.02083,41,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
The Effects of Winter Burning and Grazing on Resources and Survival of Texas Horned Lizards in a Thornscrub Ecosystem,Hellgren,1998,2001,2010,The Journal of Wildlife Management,74,2,300,309,Squamata,Phrynosomatidae,Phrynosoma,cornutum,Adult,28.32751,-99.40660,134,39,36,0,0,0,0,0,0,36,0,0,0,0,0,0,3
Growth rates and mortality of the Louisiana Pine Snake,Himes,1993,1997,2002,Journal of Herpetology,36,4,683,687,Squamata,Colubridae,Pituophis,ruthveni,Adult,31.13995,-94.45757,26,13,13,0,0,0,3,0,0,0,0,0,0,0,0,10,0
Dispersal of neonate timber rattlesnakes in the southeastern Coastal plain,Howze,2009,2009,2012,Journal of Herpetology,46,3,417,422,Squamata,Viperidae,Crotalus,horridus,Juvenile,31.24932,-84.37398,14,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Survival of radio-implanted drymarchon couperi in relation to body size and sex,Hyslop,2002,2004,2009,Herpetologica,65,2,199,206,Squamata,Colubridae,Drymarchon,couperi,Adult,31.85897,-81.65961,32,8,8,0,0,0,1,0,0,1,0,1,0,0,0,5,0
Comparative Spatial Ecologies of Female Painted Turtles and Red-Eared Sliders,Jaeger,2006,2007,2012,Chelonian Con Bio,11,1,59,67,Testudines,Emydidae,Chrysemys,picta,Adult,36.30122,-89.40637,25,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Movement and Growth of Neonate Eastern Massasaugas,Jellen,2005,2005,2007,Copeia,2007,4,994,1000,Squamata,Viperidae,Sistrurus,catenatus,Juvenile,41.06313,-79.87832,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Effects of Stochastic Flood Disturbance on Adult Wood Turtles, Glyptemys insculpta, in Massachusetts",Jones,2004,2008,2009,Canadian Field Naturalist,123,4,313,322,Testudines,Emydidae,Glyptemys,insculpta,Adult,42.65002,-72.71206,38,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Estimates of Population Size, Measurements of Sex Ratios, and Reported Mortality Rates for Bullsnakes at a Site in the Upper Midwestern United States",Kapfer,2003,2005,2008,Journal of Herpetology,42,2,265,269,Squamata,Colubridae,Pituophis,catenifer,Adult,43.40716,-89.81394,59,16,14,0,0,0,1,4,1,8,0,0,0,0,0,0,2
The Influence of landscape Heterogeneity and Dispersal on Survival of Neonate Insular Iguanas,Knapp,2003,2004,2012,Copeia,2010,1,62,70,Squamata,Iguanidae,Cyclura,cychlura,Juvenile,24.12700,-77.85926,130,43,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0
"Spatial ecology, habitat use and mortality of the eastern foxsnake (Elaphe gloydi) in the Georgian Bay Area",MacKinnon,2003,2004,2006,Thesis: University of Guelph,,,1,66,Squamata,Colubridae,Pantherophis,glodyi,Adult,45.34577,-80.17740,51,13,13,0,0,0,8,0,1,4,0,0,0,0,0,0,0
"The Ecology of a cryptic predator, paleosuchus tigonatus, in a tropical rainforest",Magnusson,1981,1989,1991,Journal of Herpetology,25,1,41,48,Crocodilia,Alligatoridae,Paleosuchus,tigonatus,Adult,-2.96120,-59.90944,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Population Ecology of the Eastern Box Turtle in a Fragmented Landscape,Nazdrowicz,2001,2003,2008,The Journal of Wildlife Management,72,3,745,753,Testudines,Emydidae,Terrapene,carolina,Adult,39.72204,-75.77052,90,11,11,0,0,0,0,2,0,0,0,0,0,5,0,4,0
Translocation as a Conservation Tool for Agassiz's Desert Tortoises: Reproduction and Movements,Nussear,1997,2000,2012,The Journal of Wildlife Management,76,7,1341,1353,Testudines,Testudinidae,Gopherus,agassizii,Adult,35.97027,-115.32919,185,27,27,0,0,0,0,0,3,16,1,0,0,3,1,3,0
"Survival and spatial ecology of the snapping turtle, Chelydra serpentina, on the Upper Mississippi River",Paisley,1997,2001,2009,Canadian Field Naturalist,123,4,329,337,Testudines,Chelydridae,Chelydra,serpentina,Adult,43.72921,-91.22734,104,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Ecology and behavior of the midget faded rattlesnake in Wyoming,Parker,2000,2002,2007,Journal of Herpetology,41,1,41,51,Squamata,Viperidae,Crotalus,oreganus,Adult,40.95961,-109.54310,50,13,7,0,0,0,1,0,0,6,0,0,0,0,0,0,6
Revealing a cryptic life-history stage: Differences in habitat selection and survivorship between hatchlings of two turtle species at risk,Paterson,2009,2010,2012,Wildlife Research,39,5,408,418,Testudines,Emydidae,Glyptemys,insculpta,Juvenile,45.80701,-78.34891,45,29,29,0,0,0,0,0,0,25,0,0,0,0,4,0,0
Revealing a cryptic life-history stage: Differences in habitat selection and survivorship between hatchlings of two turtle species at risk,Paterson,2009,2010,2012,Wildlife Research,39,5,408,418,Testudines,Emydidae,Glyptemys,insculpta,Juvenile,45.80701,-78.34891,48,10,10,0,0,0,1,0,0,8,0,0,1,0,0,0,0
Habitat Use by Synurbic Watersnakes,Pattishall,2004,2006,2009,Herpetologica,65,2,183,198,Squamata,Colubridae,Nerodia,sipedon,Adult,40.67400,-75.35678,50,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Gopher Tortoise Hatchling survival: Field Study and Meta-analysis,Perez-Heydrich,2004,2006,2012,Herpetologica,68,3,334,344,Testudines,Testudinidae,Gopherus,polyphemus,Juvenile,30.17913,-81.88800,40,29,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0
"Movements, habitat use, and thermal ecology of an isolated population of bog turtles (Glyptemys muhlenbergii)",Pittman,2007,2008,2009,Copeia,2009,4,781,790,Testudines,Emydidae,Glyptemys,muhlenbergii,Adult,35.50234,-80.83133,11,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Spatial Ecology of hatchling water pythons in tropical Australia,Pizzatto,2007,2007,2009,Journal of Herpetology,25,2,181,191,Squamata,Pythonidae,Liasis,fuscus,Juvenile,-12.65185,131.35168,10,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Spatial ecology and survivorship of resident and translocated hognose snakes,Plummer,1992,1994,2000,Journal of Herpetology,34,4,565,575,Squamata,Colubridae,Heterodon,platirhinos,Adult,35.30540,-91.73513,8,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Life in the suburbs: behavior and survival of a freshwater turtle in response to dorught and urbanization,Rees,2006,2007,2009,Biological Conservation,142,,3172,3181,Testudines,Chelidae,Chelodina,longicollis,Adult,-35.18472,149.15859,43,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Home Range and Site Fidelity of Imperiled Ornate Box Turtles in Northwestern Illinois,Refsnider,2008,2010,2012,Chelonian Conservation and Biology,11,1,78,83,Testudines,Emydidae,Terrapene,ornata,Adult,42.15651,-90.28741,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Response of Timber Rattlesnakes to Commercial Logging Operations,Reinert,2003,2006,2011,The Journal of Wildlife Management,75,1,19,29,Squamata,Viperidae,Crotalus,horridus,Adult,41.16371,-77.03944,67,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Seasonal variation in survivorship and mortality of desert tortoises in the Sonoran desert, Arizona",Riedle,1991,2007,2010,Journal of Herpetology,44,1,164,167,Testudines,Testudinidae,Gopherus,agassizii,Adult,33.84541,-111.28706,72,10,7,0,0,0,0,0,0,6,0,1,0,0,0,0,3
Movement Patterns and Home Range Use of the Northern Watersnake (Nerodia sipedon),Roth,1988,1988,2006,Copeia,2006,3,544,551,Squamata,Colubridae,Nerodia,sipedon,Adult,37.12732,-93.23889,18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Movement and Spatial Dispersion of Sistrurus catenatus and Heterdon platirhinos: Implications for Interactions with Roads,Rouse,2001,2004,2011,Copeia,2011,3,443,456,Squamata,Colubridae,Heterodon,platirhinos,Adult,45.11665,-79.78271,13,9,8,0,0,0,2,0,0,6,0,0,0,0,0,0,1
Movement and Spatial Dispersion of Sistrurus catenatus and Heterdon platirhinos: Implications for Interactions with Roads,Rouse,2002,2004,2011,Copeia,2011,3,443,456,Squamata,Viperidae,Sistrurus,catenatus,Adult,45.11665,-79.78271,34,18,15,0,0,0,3,0,0,12,0,0,0,0,0,0,3
"Nest Placement, Nest-Site Fidelity and Nesting Movements in Midland Painted Turtles",Rowe,1995,2000,2005,The American Midland Naturalist,154,2,383,397,Testudines,Emydidae,Chrysemys,picta,Adult,45.60009,-85.58296,9,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"Natural history, demography, and home range characteristics of a southern California population of Phrynosoma mcallii inhabiting atypical habitat",Setser,1999,2001,2004,Thesis: Utah State University,,,1,67,Squamata,Phrynosomatidae,Phrynosoma,mcalli,Adult,33.14339,-116.09584,60,8,7,0,0,0,0,0,0,6,0,1,0,0,0,0,1
Sex differences in behavior associated with sex-biased mortality in an oviparous snake species,Sperry,2004,2007,2009,Oikos,118,,627,633,Squamata,Colubridae,Pantherophis,obsoleta,Adult,30.16702,-97.74932,63,24,13,0,0,0,2,0,0,11,0,0,0,0,0,0,11
Summer and Winter Spatial Habitat Use by the Lake Erie Watersnake,Stanford,2000,2003,2010,Journal of Fish and Wildlife Management,1,2,122,130,Squamata,Colubridae,Nerodia,sipedon,Adult,41.60514,-82.70101,54,25,25,0,0,0,0,3,0,22,0,0,0,0,0,0,0
Spatial Ecology and Factors Influencing Movement Patterns of Desert Massasauga Rattlesnakes in Southeastern Colorado,Wastell,1997,1998,2011,Copeia,2011,1,29,37,Squamata,Viperidae,Sistrurus,catenatus,Adult,37.82739,-104.67241,36,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Sources of mortality of large elapid snakes in an agricultural landscape,Whitaker,1993,1995,2000,Journal of Herpetology,34,1,121,128,Squamata,Elapidae,Pseudonaja,textilis,Adult,-34.26886,146.08646,40,7,7,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Effects of habitat disturbance on Texas horned lizards: An urban case study,Wolf,2003,2011,2013,Herpetologica,69,3,265,281,Squamata,Phrynosomatidae,Phrynosoma,cornutum,Adult,35.42121,-97.40754,147,42,34,0,0,0,0,3,8,23,0,0,0,0,0,0,8
The effects of flooding on the spatial ecology of spotted turtles (Clemmys guttata) in a partially mined field,Yagi,2000,2005,2012,Copeia,2012,2,179,190,Testudines,Emydidae,Clemmys,guttata,Adult,43.09933,-79.29872,7,4,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0
