altitude,latitude,clutch.size,body.size,clutch.volume,egg.size
3462,34.82,181.9700859,3.630780548,177.827941,1.9498446
3462,34.82,269.1534804,3.630780548,257.0395783,1.9498446
3462,34.82,158.4893192,3.715352291,151.3561248,1.9498446
3462,34.82,234.4228815,3.801893963,223.8721139,1.9498446
3462,34.82,245.4708916,3.89045145,234.4228815,1.9498446
3462,34.82,301.995172,3.89045145,288.4031503,1.9498446
3462,34.82,354.8133892,3.89045145,338.8441561,1.9498446
3462,34.82,407.3802778,3.981071706,389.045145,1.9498446
3462,34.82,398.1071706,3.981071706,380.1893963,1.9498446
2035,33.16,537.0317964,4.073802778,549.5408739,2.041737945
3098,34.77,524.8074602,4.073802778,741.3102413,2.238721139
3462,34.82,389.045145,4.073802778,371.5352291,1.9498446
3462,34.82,588.8436554,4.073802778,562.3413252,1.9498446
2035,33.16,467.7351413,4.168693835,489.7788194,2.041737945
3462,34.82,588.8436554,4.168693835,562.3413252,1.9498446
3098,34.77,407.3802778,4.168693835,575.4399373,2.238721139
3462,34.82,363.0780548,4.168693835,346.7368505,1.9498446
2035,33.16,588.8436554,4.265795188,616.5950019,2.041737945
3462,34.82,416.8693835,4.265795188,398.1071706,1.9498446
3462,34.82,275.4228703,4.265795188,263.0267992,1.9498446
3462,34.82,588.8436554,4.365158322,562.3413252,1.9498446
3462,34.82,338.8441561,4.365158322,323.5936569,1.9498446
3462,34.82,575.4399373,4.365158322,549.5408739,1.9498446
3462,34.82,275.4228703,4.365158322,263.0267992,1.9498446
3462,34.82,371.5352291,4.365158322,354.8133892,1.9498446
3462,34.82,549.5408739,4.365158322,524.8074602,1.9498446
3462,34.82,616.5950019,4.466835922,588.8436554,1.9498446
3462,34.82,501.1872336,4.466835922,478.6300923,1.9498446
3462,34.82,524.8074602,4.570881896,501.1872336,1.9498446
3462,34.82,426.5795188,4.570881896,407.3802778,1.9498446
3462,34.82,489.7788194,4.570881896,467.7351413,1.9498446
3061,32.78,588.8436554,4.570881896,645.654229,2.089296131
3462,34.82,512.861384,4.677351413,489.7788194,1.9498446
2035,33.16,562.3413252,4.677351413,588.8436554,2.041737945
3493,34.3,691.8309709,4.677351413,1047.128548,2.290867653
3462,34.82,457.0881896,4.677351413,436.5158322,1.9498446
3462,34.82,616.5950019,4.786300923,588.8436554,1.9498446
3462,34.82,489.7788194,4.786300923,467.7351413,1.9498446
3462,34.82,630.9573445,4.786300923,602.5595861,1.9498446
2035,33.16,758.577575,4.786300923,794.3282347,2.041737945
3462,34.82,691.8309709,4.786300923,660.693448,1.9498446
2035,33.16,794.3282347,4.786300923,831.7637711,2.041737945
3462,34.82,575.4399373,4.897788194,549.5408739,1.9498446
3462,34.82,512.861384,4.897788194,489.7788194,1.9498446
3462,34.82,489.7788194,4.897788194,467.7351413,1.9498446
3462,34.82,912.0108394,4.897788194,870.96359,1.9498446
3493,34.3,301.995172,5.011872336,457.0881896,2.290867653
3462,34.82,537.0317964,5.011872336,512.861384,1.9498446
3462,34.82,1174.897555,5.011872336,1122.018454,1.9498446
3462,34.82,645.654229,5.011872336,630.9573445,1.9498446
3098,34.77,537.0317964,5.011872336,758.577575,2.238721139
3462,34.82,478.6300923,5.12861384,457.0881896,1.9498446
3493,34.3,691.8309709,5.12861384,1047.128548,2.290867653
3493,34.3,537.0317964,5.12861384,812.8305162,2.290867653
3462,34.82,707.9457844,5.12861384,676.0829754,1.9498446
3493,34.3,549.5408739,5.12861384,831.7637711,2.290867653
3493,34.3,741.3102413,5.12861384,1122.018454,2.290867653
3462,34.82,724.4359601,5.12861384,691.8309709,1.9498446
2035,33.16,812.8305162,5.248074602,851.1380382,2.041737945
2035,33.16,933.2543008,5.248074602,977.237221,2.041737945
3462,34.82,794.3282347,5.248074602,758.577575,1.9498446
3462,34.82,741.3102413,5.248074602,707.9457844,1.9498446
3493,34.3,478.6300923,5.248074602,724.4359601,2.290867653
2035,33.16,707.9457844,5.248074602,741.3102413,2.041737945
3493,34.3,630.9573445,5.248074602,954.992586,2.290867653
3462,34.82,263.0267992,5.248074602,251.1886432,1.9498446
3462,34.82,549.5408739,5.248074602,524.8074602,1.9498446
2035,33.16,549.5408739,5.248074602,575.4399373,2.041737945
2035,33.16,741.3102413,5.248074602,776.2471166,2.041737945
3493,34.3,467.7351413,5.248074602,724.4359601,2.290867653
3493,34.3,676.0829754,5.248074602,1023.292992,2.290867653
3462,34.82,691.8309709,5.248074602,660.693448,1.9498446
3493,34.3,758.577575,5.248074602,1148.153621,2.290867653
3493,34.3,501.1872336,5.370317964,758.577575,2.290867653
2035,33.16,831.7637711,5.248074602,870.96359,2.041737945
2035,33.16,851.1380382,5.248074602,891.2509381,2.041737945
3493,34.3,1047.128548,5.370317964,1584.893192,2.290867653
3493,34.3,1071.519305,5.370317964,1621.810097,2.290867653
3462,34.82,831.7637711,5.370317964,794.3282347,1.9498446
3462,34.82,851.1380382,5.370317964,812.8305162,1.9498446
3493,34.3,1096.478196,5.370317964,1659.586907,2.290867653
3462,34.82,891.2509381,5.370317964,851.1380382,1.9498446
2035,33.16,891.2509381,5.370317964,912.0108394,2.041737945
3493,34.3,724.4359601,5.370317964,1096.478196,2.290867653
3493,34.3,588.8436554,5.495408739,724.4359601,2.13796209
3493,34.3,645.654229,5.495408739,1071.519305,2.344228815
3493,34.3,691.8309709,5.495408739,1174.897555,2.398832919
3493,34.3,851.1380382,5.495408739,1288.249552,2.290867653
3462,34.82,954.992586,5.495408739,912.0108394,1.9498446
3462,34.82,1288.249552,5.495408739,1230.268771,1.9498446
3493,34.3,691.8309709,5.495408739,1047.128548,2.290867653
3493,34.3,1148.153621,5.495408739,1737.800829,2.290867653
3493,34.3,660.693448,5.495408739,1096.478196,2.344228815
3493,34.3,758.577575,5.495408739,1148.153621,2.290867653
3462,34.82,870.96359,5.623413252,831.7637711,1.9498446
3098,34.77,891.2509381,5.623413252,1348.962883,2.290867653
2035,33.16,1071.519305,5.623413252,1122.018454,2.041737945
3462,34.82,741.3102413,5.623413252,707.9457844,1.9498446
3493,34.3,549.5408739,5.623413252,831.7637711,2.290867653
3098,34.77,562.3413252,5.623413252,776.2471166,2.238721139
3462,34.82,870.96359,5.623413252,831.7637711,1.9498446
3493,34.3,616.5950019,5.623413252,933.2543008,2.290867653
3493,34.3,537.0317964,5.754399373,812.8305162,2.290867653
2035,33.16,933.2543008,5.754399373,977.237221,2.041737945
3493,34.3,616.5950019,5.623413252,1258.925412,2.511886432
3493,34.3,1071.519305,5.623413252,1659.586907,2.290867653
3493,34.3,524.8074602,5.754399373,588.8436554,2.089296131
3061,32.78,954.992586,5.754399373,1071.519305,2.089296131
3098,34.77,870.96359,5.754399373,1202.264435,2.238721139
3493,34.3,524.8074602,5.754399373,794.3282347,2.290867653
3462,34.82,295.1209227,5.754399373,281.8382931,1.9498446
3462,34.82,741.3102413,5.754399373,707.9457844,1.9498446
3098,34.77,831.7637711,5.754399373,1174.897555,2.238721139
3462,34.82,691.8309709,5.754399373,660.693448,1.9498446
2035,33.16,954.992586,5.754399373,1000,2.041737945
3493,34.3,933.2543008,5.754399373,1412.537545,2.290867653
3493,34.3,575.4399373,5.754399373,602.5595861,2.041737945
3493,34.3,537.0317964,5.888436554,794.3282347,2.290867653
3493,34.3,676.0829754,5.888436554,933.2543008,2.238721139
3493,34.3,269.1534804,5.888436554,323.5936569,2.13796209
3462,34.82,537.0317964,5.888436554,512.861384,1.9498446
3493,34.3,977.237221,6.025595861,1479.108388,2.290867653
3493,34.3,933.2543008,6.025595861,1445.439771,2.290867653
3493,34.3,1096.478196,6.025595861,1230.268771,2.089296131
3493,34.3,851.1380382,6.025595861,1318.256739,2.290867653
3493,34.3,691.8309709,6.165950019,1047.128548,2.290867653
3493,34.3,851.1380382,6.165950019,1288.249552,2.290867653
3493,34.3,1318.256739,6.165950019,1862.087137,2.238721139
3493,34.3,707.9457844,6.165950019,1071.519305,2.290867653
2035,33.16,1258.925412,NA,1621.810097,2.187761624
2035,33.16,691.8309709,NA,1258.925412,2.454708916
2035,33.16,616.5950019,NA,812.8305162,2.187761624
2035,33.16,741.3102413,NA,912.0108394,2.13796209
2035,33.16,537.0317964,NA,446.6835922,1.862087137
2035,33.16,758.577575,NA,660.693448,1.905460718
2035,33.16,524.8074602,NA,501.1872336,1.9498446
2035,33.16,741.3102413,NA,794.3282347,2.041737945
2035,33.16,1096.478196,NA,977.237221,1.905460718
2035,33.16,549.5408739,NA,588.8436554,2.041737945
2035,33.16,776.2471166,NA,891.2509381,2.089296131
2035,33.16,316.227766,NA,239.8832919,1.819700859
2035,33.16,371.5352291,NA,501.1872336,2.238721139
2035,33.16,489.7788194,NA,691.8309709,2.238721139
2035,33.16,645.654229,NA,588.8436554,1.9498446
2035,33.16,954.992586,NA,776.2471166,1.862087137
2035,33.16,741.3102413,NA,776.2471166,2.041737945
2035,33.16,870.96359,NA,912.0108394,2.041737945
2035,33.16,707.9457844,NA,741.3102413,2.041737945
2035,33.16,758.577575,NA,794.3282347,2.041737945
2597,34.05,537.0317964,NA,776.2471166,2.238721139
2597,34.05,457.0881896,NA,467.7351413,2.041737945
2926,34.96,831.7637711,NA,933.2543008,2.089296131
2926,34.96,1348.962883,NA,1513.561248,2.089296131
2926,34.96,812.8305162,NA,933.2543008,2.089296131
3061,32.78,1318.256739,NA,1380.384265,2.041737945
3061,32.78,537.0317964,NA,512.861384,1.9498446
3061,32.78,954.992586,NA,1174.897555,2.13796209
3061,32.78,562.3413252,NA,891.2509381,2.344228815
3061,32.78,575.4399373,NA,575.4399373,1.995262315
3061,32.78,1000,NA,1862.087137,2.454708916
3061,32.78,691.8309709,NA,758.577575,2.041737945
3061,32.78,851.1380382,NA,870.96359,2.041737945
3061,32.78,660.693448,NA,602.5595861,1.9498446
3061,32.78,1000,NA,1348.962883,2.187761624
3061,32.78,645.654229,NA,1047.128548,2.344228815
3061,32.78,870.96359,NA,1318.256739,2.290867653
3061,32.78,478.6300923,NA,1071.519305,2.630267992
3061,32.78,707.9457844,NA,707.9457844,1.995262315
3061,32.78,912.0108394,NA,1348.962883,2.290867653
3061,32.78,812.8305162,NA,933.2543008,2.089296131
3061,32.78,1288.249552,NA,1949.8446,2.290867653
3061,32.78,1174.897555,NA,1819.700859,2.290867653
3061,32.78,489.7788194,NA,426.5795188,1.905460718
3080,34.8,645.654229,NA,1148.153621,2.398832919
3080,34.8,1348.962883,NA,2137.96209,2.344228815
3080,34.8,831.7637711,NA,1071.519305,2.187761624
3080,34.8,478.6300923,NA,831.7637711,2.398832919
3080,34.8,741.3102413,NA,1621.810097,2.570395783
3080,34.8,501.1872336,NA,794.3282347,2.344228815
3080,34.8,741.3102413,NA,1348.962883,2.454708916
3080,34.8,630.9573445,NA,776.2471166,2.13796209
3080,34.8,501.1872336,NA,691.8309709,2.238721139
3080,34.8,1174.897555,NA,1905.460718,2.344228815
3098,34.77,512.861384,NA,630.9573445,2.13796209
3098,34.77,446.6835922,NA,707.9457844,2.344228815
3098,34.77,478.6300923,NA,660.693448,2.238721139
3098,34.77,426.5795188,NA,602.5595861,2.238721139
3098,34.77,691.8309709,NA,954.992586,2.238721139
3098,34.77,436.5158322,NA,602.5595861,2.238721139
3098,34.77,630.9573445,NA,891.2509381,2.238721139
3098,34.77,602.5595861,NA,851.1380382,2.238721139
3098,34.77,891.2509381,NA,1230.268771,2.238721139
3098,34.77,588.8436554,NA,812.8305162,2.238721139
3098,34.77,851.1380382,NA,1202.264435,2.238721139
3098,34.77,338.8441561,NA,478.6300923,2.238721139
3098,34.77,616.5950019,NA,851.1380382,2.238721139
3098,34.77,616.5950019,NA,870.96359,2.238721139
3098,34.77,512.861384,NA,724.4359601,2.238721139
3098,34.77,1122.018454,NA,1584.893192,2.238721139
3189,34.1,831.7637711,NA,794.3282347,1.9498446
3189,34.1,1174.897555,NA,1071.519305,1.9498446
3189,34.1,707.9457844,NA,660.693448,1.9498446
3189,34.1,1122.018454,NA,1513.561248,2.187761624
3189,34.1,1047.128548,NA,1380.384265,2.187761624
3189,34.1,676.0829754,NA,1000,2.290867653
3189,34.1,1047.128548,NA,1230.268771,2.089296131
3189,34.1,549.5408739,NA,1071.519305,2.511886432
3189,34.1,1288.249552,NA,1698.243652,2.187761624
3189,34.1,1698.243652,NA,2630.267992,2.290867653
3462,34.82,741.3102413,NA,851.1380382,2.089296131
3462,34.82,588.8436554,NA,501.1872336,1.905460718
3462,34.82,512.861384,NA,616.5950019,2.13796209
3462,34.82,851.1380382,NA,977.237221,2.089296131
3462,34.82,588.8436554,NA,501.1872336,1.905460718
3462,34.82,776.2471166,NA,588.8436554,1.819700859
3462,34.82,724.4359601,NA,724.4359601,1.995262315
3462,34.82,1071.519305,NA,1096.478196,1.995262315
3462,34.82,758.577575,NA,831.7637711,2.041737945
3462,34.82,794.3282347,NA,1000,2.187761624
3462,34.82,758.577575,NA,812.8305162,2.041737945
3462,34.82,977.237221,NA,794.3282347,1.862087137
3462,34.82,588.8436554,NA,912.0108394,2.344228815
3462,34.82,602.5595861,NA,741.3102413,2.13796209
3462,34.82,933.2543008,NA,776.2471166,1.905460718
3462,34.82,851.1380382,NA,912.0108394,2.041737945
3462,34.82,1071.519305,NA,1148.153621,2.041737945
3462,34.82,691.8309709,NA,660.693448,1.9498446
3462,34.82,549.5408739,NA,691.8309709,2.13796209
3462,34.82,676.0829754,NA,812.8305162,2.13796209
3462,34.82,758.577575,NA,912.0108394,2.13796209
3462,34.82,1000,NA,812.8305162,1.862087137
3462,34.82,575.4399373,NA,691.8309709,2.13796209
3462,34.82,891.2509381,NA,1096.478196,2.13796209
3462,34.82,891.2509381,NA,1445.439771,2.344228815
3462,34.82,912.0108394,NA,870.96359,1.995262315
3462,34.82,691.8309709,NA,363.0780548,1.621810097
3462,34.82,851.1380382,NA,1148.153621,2.238721139
3462,34.82,912.0108394,NA,870.96359,1.9498446
3462,34.82,489.7788194,NA,501.1872336,1.995262315
3462,34.82,870.96359,NA,724.4359601,1.862087137
3462,34.82,933.2543008,NA,812.8305162,1.905460718
3462,34.82,1174.897555,NA,1023.292992,1.905460718
3462,34.82,912.0108394,NA,891.2509381,1.995262315
3462,34.82,794.3282347,NA,776.2471166,1.995262315
3462,34.82,851.1380382,NA,741.3102413,1.905460718
3462,34.82,645.654229,NA,602.5595861,1.9498446
3462,34.82,602.5595861,NA,562.3413252,1.9498446
3462,34.82,933.2543008,NA,1096.478196,2.089296131
3462,34.82,812.8305162,NA,776.2471166,1.9498446
3462,34.82,776.2471166,NA,707.9457844,1.9498446
3462,34.82,758.577575,NA,691.8309709,1.9498446
3462,34.82,426.5795188,NA,512.861384,2.13796209
3462,34.82,660.693448,NA,630.9573445,1.9498446
3462,34.82,588.8436554,NA,645.654229,2.089296131
3462,34.82,575.4399373,NA,575.4399373,1.995262315
3462,34.82,831.7637711,NA,794.3282347,1.9498446
3462,34.82,794.3282347,NA,645.654229,1.862087137
3462,34.82,1023.292992,NA,977.237221,1.9498446
3462,34.82,457.0881896,NA,426.5795188,1.9498446
3462,34.82,616.5950019,NA,512.861384,1.862087137
3462,34.82,616.5950019,NA,549.5408739,1.9498446
3462,34.82,977.237221,NA,812.8305162,1.862087137
3462,34.82,933.2543008,NA,933.2543008,1.995262315
3462,34.82,562.3413252,NA,645.654229,2.089296131
3462,34.82,691.8309709,NA,676.0829754,1.995262315
3462,34.82,562.3413252,NA,512.861384,1.9498446
3462,34.82,707.9457844,NA,562.3413252,1.862087137
3462,34.82,831.7637711,NA,630.9573445,1.819700859
3462,34.82,616.5950019,NA,363.0780548,1.659586907
3462,34.82,851.1380382,NA,660.693448,1.819700859
3462,34.82,446.6835922,NA,549.5408739,2.13796209
3462,34.82,707.9457844,NA,575.4399373,1.862087137
3462,34.82,1318.256739,NA,1071.519305,1.862087137
3462,34.82,457.0881896,NA,363.0780548,1.819700859
3462,34.82,512.861384,NA,645.654229,2.13796209
3462,34.82,199.5262315,NA,151.3561248,1.819700859
3462,34.82,794.3282347,NA,794.3282347,1.995262315
3462,34.82,691.8309709,NA,549.5408739,1.862087137
3462,34.82,199.5262315,NA,186.2087137,1.9498446
3462,34.82,363.0780548,NA,331.1311215,1.9498446
3462,34.82,489.7788194,NA,549.5408739,2.089296131
3462,34.82,977.237221,NA,1148.153621,2.13796209
3462,34.82,398.1071706,NA,380.1893963,1.9498446
3462,34.82,323.5936569,NA,239.8832919,1.819700859
3462,34.82,1258.925412,NA,1202.264435,1.9498446
3462,34.82,912.0108394,NA,870.96359,1.9498446
3462,34.82,501.1872336,NA,467.7351413,1.9498446
3462,34.82,831.7637711,NA,891.2509381,2.041737945
3462,34.82,537.0317964,NA,537.0317964,1.995262315
3462,34.82,954.992586,NA,933.2543008,1.995262315
3462,34.82,870.96359,NA,630.9573445,1.819700859
3462,34.82,537.0317964,NA,537.0317964,1.995262315
3462,34.82,363.0780548,NA,346.7368505,1.9498446
3462,34.82,1288.249552,NA,1445.439771,2.089296131
3462,34.82,562.3413252,NA,467.7351413,1.862087137
3462,34.82,588.8436554,NA,371.5352291,1.737800829
3462,34.82,575.4399373,NA,501.1872336,1.905460718
3462,34.82,602.5595861,NA,501.1872336,1.862087137
3462,34.82,389.045145,NA,363.0780548,1.9498446
3462,34.82,870.96359,NA,812.8305162,1.9498446
3462,34.82,512.861384,NA,467.7351413,1.9498446
3462,34.82,776.2471166,NA,724.4359601,1.9498446
3462,34.82,851.1380382,NA,794.3282347,1.9498446
3462,34.82,707.9457844,NA,660.693448,1.9498446
3462,34.82,537.0317964,NA,501.1872336,1.9498446
3462,34.82,831.7637711,NA,776.2471166,1.9498446
3462,34.82,794.3282347,NA,870.96359,2.089296131
3462,34.82,776.2471166,NA,691.8309709,1.9498446
3462,34.82,446.6835922,NA,416.8693835,1.9498446
3462,34.82,741.3102413,NA,707.9457844,1.9498446
3462,34.82,977.237221,NA,977.237221,1.995262315
3462,34.82,575.4399373,NA,457.0881896,1.862087137
3462,34.82,398.1071706,NA,295.1209227,1.819700859
3462,34.82,489.7788194,NA,512.861384,2.041737945
3462,34.82,870.96359,NA,724.4359601,1.862087137
3462,34.82,933.2543008,NA,912.0108394,1.995262315
3462,34.82,676.0829754,NA,549.5408739,1.862087137
3462,34.82,524.8074602,NA,426.5795188,1.862087137
3462,34.82,794.3282347,NA,776.2471166,1.995262315
3462,34.82,676.0829754,NA,616.5950019,1.9498446
3462,34.82,630.9573445,NA,575.4399373,1.9498446
3462,34.82,562.3413252,NA,398.1071706,1.77827941
3479,33.89,1047.128548,NA,954.992586,1.9498446
3479,33.89,870.96359,NA,1258.925412,2.238721139
3479,33.89,912.0108394,NA,954.992586,2.041737945
3479,33.89,977.237221,NA,1047.128548,2.041737945
3479,33.89,933.2543008,NA,933.2543008,1.995262315
3479,33.89,1047.128548,NA,1096.478196,2.041737945
3479,33.89,1288.249552,NA,1174.897555,1.9498446
3479,33.89,707.9457844,NA,741.3102413,2.041737945
3479,33.89,1202.264435,NA,1258.925412,2.041737945
3479,33.89,831.7637711,NA,870.96359,2.041737945
3479,33.89,758.577575,NA,794.3282347,2.041737945
3479,33.89,1148.153621,NA,1202.264435,2.041737945
3479,33.89,831.7637711,NA,870.96359,2.041737945
3479,33.89,1071.519305,NA,1096.478196,2.041737945
3485,33.56,812.8305162,NA,1148.153621,2.238721139
3493,34.3,1412.537545,NA,2454.708916,2.398832919
3493,34.3,977.237221,NA,1445.439771,2.290867653
3493,34.3,794.3282347,NA,1202.264435,2.290867653
3493,34.3,741.3102413,NA,1148.153621,2.290867653
3493,34.3,758.577575,NA,1148.153621,2.290867653
3493,34.3,660.693448,NA,1000,2.290867653
3493,34.3,676.0829754,NA,1023.292992,2.290867653
3493,34.3,741.3102413,NA,1122.018454,2.290867653
3493,34.3,588.8436554,NA,891.2509381,2.290867653
3493,34.3,831.7637711,NA,1258.925412,2.290867653
3493,34.3,1659.586907,NA,2511.886432,2.290867653
3493,34.3,467.7351413,NA,707.9457844,2.290867653
3493,34.3,616.5950019,NA,933.2543008,2.290867653
3493,34.3,616.5950019,NA,933.2543008,2.290867653
3493,34.3,691.8309709,NA,1047.128548,2.290867653
3493,34.3,758.577575,NA,1174.897555,2.290867653
3493,34.3,870.96359,NA,1348.962883,2.290867653
3493,34.3,524.8074602,NA,794.3282347,2.290867653
3493,34.3,870.96359,NA,1318.256739,2.290867653
3493,34.3,707.9457844,NA,1071.519305,2.290867653
3493,34.3,707.9457844,NA,1071.519305,2.290867653
3493,34.3,812.8305162,NA,1230.268771,2.290867653
3493,34.3,660.693448,NA,1023.292992,2.290867653
3493,34.3,676.0829754,NA,1023.292992,2.290867653
3493,34.3,776.2471166,NA,1174.897555,2.290867653
3493,34.3,575.4399373,NA,870.96359,2.290867653
3493,34.3,794.3282347,NA,1202.264435,2.290867653
3493,34.3,812.8305162,NA,1230.268771,2.290867653
3493,34.3,758.577575,NA,1148.153621,2.290867653
3493,34.3,954.992586,NA,1445.439771,2.290867653
3493,34.3,630.9573445,NA,954.992586,2.290867653
3493,34.3,891.2509381,NA,1348.962883,2.290867653
3493,34.3,912.0108394,NA,1412.537545,2.290867653
3493,34.3,575.4399373,NA,870.96359,2.290867653
3493,34.3,426.5795188,NA,645.654229,2.290867653
3493,34.3,562.3413252,NA,851.1380382,2.290867653
3493,34.3,912.0108394,NA,1380.384265,2.290867653
3493,34.3,660.693448,NA,1000,2.290867653
3493,34.3,851.1380382,NA,1288.249552,2.290867653
3493,34.3,1000,NA,1513.561248,2.290867653
3493,34.3,794.3282347,NA,1202.264435,2.290867653
3493,34.3,588.8436554,NA,891.2509381,2.290867653
3493,34.3,812.8305162,NA,1230.268771,2.290867653
3493,34.3,616.5950019,NA,954.992586,2.290867653
3493,34.3,933.2543008,NA,1412.537545,2.290867653
3493,34.3,676.0829754,NA,1023.292992,2.290867653
3493,34.3,707.9457844,NA,1071.519305,2.290867653
3493,34.3,630.9573445,NA,954.992586,2.290867653
3493,34.3,602.5595861,NA,933.2543008,2.290867653
3493,34.3,977.237221,NA,1479.108388,2.290867653
3493,34.3,741.3102413,NA,1148.153621,2.290867653
3493,34.3,616.5950019,NA,954.992586,2.290867653
3493,34.3,1288.249552,NA,1949.8446,2.290867653
3493,34.3,794.3282347,NA,1202.264435,2.290867653
3493,34.3,891.2509381,NA,1348.962883,2.290867653
3493,34.3,851.1380382,NA,1288.249552,2.290867653
3493,34.3,794.3282347,NA,1318.256739,2.344228815
3493,34.3,660.693448,NA,1548.816619,2.630267992
3493,34.3,851.1380382,NA,1905.460718,2.630267992
3493,34.3,707.9457844,NA,933.2543008,2.187761624
3493,34.3,489.7788194,NA,645.654229,2.187761624
3493,34.3,512.861384,NA,776.2471166,2.290867653
3493,34.3,489.7788194,NA,741.3102413,2.290867653
3493,34.3,912.0108394,NA,1380.384265,2.290867653
3493,34.3,794.3282347,NA,1230.268771,2.290867653
3493,34.3,724.4359601,NA,1096.478196,2.290867653
3493,34.3,870.96359,NA,1318.256739,2.290867653
3493,34.3,691.8309709,NA,1047.128548,2.290867653
3493,34.3,831.7637711,NA,1258.925412,2.290867653
3493,34.3,660.693448,NA,1000,2.290867653
3493,34.3,512.861384,NA,776.2471166,2.290867653
3493,34.3,562.3413252,NA,851.1380382,2.290867653
3493,34.3,602.5595861,NA,912.0108394,2.290867653
3493,34.3,457.0881896,NA,707.9457844,2.290867653
3493,34.3,489.7788194,NA,741.3102413,2.290867653
3493,34.3,741.3102413,NA,1148.153621,2.290867653
3493,34.3,794.3282347,NA,1202.264435,2.290867653
3493,34.3,954.992586,NA,1445.439771,2.290867653
3493,34.3,645.654229,NA,977.237221,2.290867653
3493,34.3,660.693448,NA,1000,2.290867653
3493,34.3,977.237221,NA,1479.108388,2.290867653
3493,34.3,426.5795188,NA,645.654229,2.290867653
3493,34.3,851.1380382,NA,1288.249552,2.290867653
3485,33.56,870.96359,NA,1258.925412,2.238721139
3485,33.56,676.0829754,NA,977.237221,2.238721139
3485,33.56,660.693448,NA,933.2543008,2.238721139
3485,33.56,812.8305162,NA,1148.153621,2.238721139
2597,34.05,537.0317964,NA,776.2471166,2.238721139
2597,34.05,562.3413252,NA,575.4399373,2.041737945
2597,34.05,537.0317964,NA,776.2471166,2.238721139
2597,34.05,660.693448,NA,676.0829754,2.041737945
2926,34.96,831.7637711,NA,933.2543008,2.089296131
2926,34.96,870.96359,NA,1000,2.089296131
2926,34.96,812.8305162,NA,933.2543008,2.089296131