SW_mass,DTS_mass
0.057,0.092
0.034,0.067
0.052,0.062
0.055,0.08
0.044,0.094
0.032,0.078
0.053,0.062
0.055,0.061
0.058,0.093
0.047,0.079
0.046,0.061
0.041,0.069
0.051,0.077
0.037,0.066
0.053,0.061
0.039,0.083
0.038,0.084
0.034,0.102
0.053,0.071
0.038,0.066
0.051,0.183
0.06,0.078
0.042,0.065
0.06,0.067
0.033,0.069
0.054,0.068
0.044,0.102
0.051,0.092
0.045,0.062
0.048,0.07
0.055,0.065
0.052,0.064
0.059,0.06
0.051,0.07
0.042,0.071
0.052,0.061
0.058,
0.043,
0.039,